bench,model,model_id,skill_mode,agent_success,best_step,best_cycles,baseline_cycles_agent,direct_synth_status,direct_csim_status,direct_cosim_status,direct_cycles,direct_cosim_cycles,speedup_vs_direct_csynth,agent_step_cosim,agent_step_cosim_cycles,steps_attempted,steps_success,elapsed_sec,error
hlsfactory_2mm,sonnet,claude-sonnet-4-6,skill_off,True,flash,127735,25296077,pass,pass,timeout,25296077,,198.035597,True,127745,1,1,2227.748,
hlsfactory_3mm,sonnet,claude-sonnet-4-6,skill_off,True,flash,90620,45441119,pass,pass,timeout,45441119,,501.44691,True,90513,1,1,2886.233,
hlsfactory_atax,sonnet,claude-sonnet-4-6,skill_off,True,flash,105865,2429238,pass,pass,pass,2429238,2652285,22.946564,True,105265,1,1,430.424,
hlsfactory_bicg,sonnet,claude-sonnet-4-6,skill_off,True,flash,87179,2343914,pass,pass,pass,2343914,2560150,26.886223,True,87295,1,1,409.578,
hlsfactory_cholesky,sonnet,claude-sonnet-4-6,skill_off,True,flash,2512714,68337001,pass,pass,timeout,68337001,,27.19649,True,1817141,1,1,3015.395,
hlsfactory_correlation,sonnet,claude-sonnet-4-6,skill_off,True,baseline,53906591,53906591,pass,pass,timeout,53906591,,1.0,,,1,0,3167.716,
hlsfactory_covariance,sonnet,claude-sonnet-4-6,skill_off,True,flash,1792457,64118323,pass,pass,timeout,64118323,,35.771192,True,1808085,1,1,2323.103,
hlsfactory_doitgen,sonnet,claude-sonnet-4-6,skill_off,False,,,,fail,not_run,not_run,,,,,,0,0,10.373,"Gold HLS synthesis failed: ERROR: [SYNCHK 200-43] /home/luo00466/tmp/hls_synth_dx5_8tf0/kernel.cpp:18: use or assignment of a non-static pointer '' (this pointer may refer to different memory locations).
ERROR: [HLS 200-70] Synthesizability check failed."
hlsfactory_durbin,sonnet,claude-sonnet-4-6,skill_off,True,flash,61440,115097,pass,pass,pass,115097,176899,1.873324,True,60795,1,1,209.64,
hlsfactory_fdtd_2d,sonnet,claude-sonnet-4-6,skill_off,True,flash,601854,98261801,pass,pass,timeout,98261801,,163.265179,True,601655,1,1,2446.548,
hlsfactory_floyd_warshall,sonnet,claude-sonnet-4-6,skill_off,True,flash,13136041,833976005,pass,pass,timeout,833976005,,63.487622,True,16959282,1,1,2209.467,
hlsfactory_gemm,sonnet,claude-sonnet-4-6,skill_off,True,flash,367858,54298622,pass,pass,timeout,54298622,,147.607561,True,388134,1,1,2091.341,
hlsfactory_gemver,sonnet,claude-sonnet-4-6,skill_off,True,flash,132238,2715487,pass,pass,pass,2715487,2938796,20.534846,True,132453,1,1,722.159,
hlsfactory_gesummv,sonnet,claude-sonnet-4-6,skill_off,True,flash,41028,1441873,pass,pass,pass,1441873,1459088,35.143634,True,42998,1,1,294.368,
hlsfactory_gramschmidt,sonnet,claude-sonnet-4-6,skill_off,True,flash,1493671,2270081,pass,pass,timeout,2270081,,1.5198,True,1534374,1,1,2534.785,
hlsfactory_heat_3d,sonnet,claude-sonnet-4-6,skill_off,True,flash,504480,3281841,pass,pass,timeout,3281841,,6.505394,True,509363,1,1,2169.698,
hlsfactory_jacobi_1d,sonnet,claude-sonnet-4-6,skill_off,True,flash,12468,41761,pass,pass,pass,41761,56851,3.349455,True,12403,1,1,168.882,
hlsfactory_jacobi_2d,sonnet,claude-sonnet-4-6,skill_off,True,flash,656738,3112241,pass,pass,timeout,3112241,,4.738939,True,656715,1,1,2579.108,
hlsfactory_lu,sonnet,claude-sonnet-4-6,skill_off,True,baseline,134372041,134372041,pass,pass,timeout,134372041,,1.0,,,1,0,5492.634,
hlsfactory_ludcmp,sonnet,claude-sonnet-4-6,skill_off,True,flash,4772461,10095723,pass,pass,pass,10095723,9426485,2.115412,True,3379475,1,1,2041.439,
hlsfactory_mvt,sonnet,claude-sonnet-4-6,skill_off,True,flash,156992,256922,pass,pass,pass,256922,266254,1.636529,True,159499,1,1,255.192,
hlsfactory_nussinov,sonnet,claude-sonnet-4-6,skill_off,True,flash,1724899,209526121,pass,pass,pass,209526121,157203939,121.47153,True,1214995,1,1,1305.067,
hlsfactory_seidel_2d,sonnet,claude-sonnet-4-6,skill_off,True,flash,586041,132556483,pass,pass,timeout,132556483,,226.189777,False,,1,1,3669.213,
hlsfactory_symm,sonnet,claude-sonnet-4-6,skill_off,True,flash,62794,23241675,pass,pass,timeout,23241675,,370.125729,True,63150,1,1,2116.847,
hlsfactory_syr2k,sonnet,claude-sonnet-4-6,skill_off,True,flash,222557,33807761,pass,pass,timeout,33807761,,151.906078,True,228128,1,1,2131.527,
hlsfactory_syrk,sonnet,claude-sonnet-4-6,skill_off,True,flash,5220630,31695761,pass,pass,timeout,31695761,,6.071252,False,,1,1,3666.276,
hlsfactory_trisolv,sonnet,claude-sonnet-4-6,skill_off,True,flash,57991,1160161,pass,pass,pass,1160161,1275966,20.00588,True,58194,1,1,302.219,
hlsfactory_trmm,sonnet,claude-sonnet-4-6,skill_off,True,flash,49354,22598401,pass,pass,pass,22598401,25142463,457.88388,True,49743,1,1,991.302,
hlsfactory_2mm,sonnet,claude-sonnet-4-6,skill_on,True,flash,59216,25296077,pass,pass,timeout,25296077,,427.183143,True,59196,1,1,2450.065,
hlsfactory_3mm,sonnet,claude-sonnet-4-6,skill_on,True,flash,90620,45441119,pass,pass,timeout,45441119,,501.44691,True,90695,1,1,2922.012,
