bench,skill_mode,best_step,agent_cosim_cycles,direct_cosim_cycles,cosim_speedup,agent_csynth_cycles,direct_csynth_cycles,direct_cosim_status,agent_cosim
hlsfactory_atax,skill_off,flash,105265,2652285,25.196266565335108,105865,2429238,pass,True
hlsfactory_bicg,skill_off,flash,87295,2560150,29.3275674437253,87179,2343914,pass,True
hlsfactory_durbin,skill_off,flash,60795,176899,2.9097623159799326,61440,115097,pass,True
hlsfactory_gemver,skill_off,flash,132453,2938796,22.18746272262614,132238,2715487,pass,True
hlsfactory_gesummv,skill_off,flash,42998,1459088,33.93385738871575,41028,1441873,pass,True
hlsfactory_jacobi_1d,skill_off,flash,12403,56851,4.5836491171490765,12468,41761,pass,True
hlsfactory_ludcmp,skill_off,flash,3379475,9426485,2.789334142137462,4772461,10095723,pass,True
hlsfactory_mvt,skill_off,flash,159499,266254,1.6693145411569978,156992,256922,pass,True
hlsfactory_nussinov,skill_off,flash,1214995,157203939,129.3864904793847,1724899,209526121,pass,True
hlsfactory_trisolv,skill_off,flash,58194,1275966,21.926074853077637,57991,1160161,pass,True
hlsfactory_trmm,skill_off,flash,49743,25142463,505.4472589108015,49354,22598401,pass,True
hlsfactory_atax,skill_on,flash,105515,2652285,25.136568260436906,106102,2429238,pass,True
hlsfactory_bicg,skill_on,flash,88813,2560150,28.826297951876416,88937,2343914,pass,True
hlsfactory_durbin,skill_on,flash,60915,176899,2.9040302060247885,61559,115097,pass,True
hlsfactory_gemver,skill_on,flash,192361,2938796,15.277504275814744,192356,2715487,pass,True
hlsfactory_gesummv,skill_on,flash,58871,1459088,24.784494912605528,58128,1441873,pass,True
hlsfactory_jacobi_1d,skill_on,flash,12139,56851,4.683334706318478,12231,41761,pass,True
hlsfactory_ludcmp,skill_on,flash,3379675,9426485,2.7891690769082826,4772461,10095723,pass,True
hlsfactory_mvt,skill_on,flash,210297,266254,1.2660855837220693,199397,256922,pass,True
hlsfactory_trisolv,skill_on,flash,58194,1275966,21.926074853077637,57991,1160161,pass,True
