bench,skill_mode,best_step,agent_cosim_cycles,direct_cosim_cycles,cosim_speedup,direct_cosim_supplement,agent_csynth_cycles,direct_csynth_cycles
hlsfactory_3mm,skill_off,flash,90513,47837251,528.51249,hlsfactory_direct_cosim3600_timeouts_20260530,90620,45441119
hlsfactory_atax,skill_off,flash,105265,2652285,25.196267,,105865,2429238
hlsfactory_bicg,skill_off,flash,87295,2560150,29.327567,,87179,2343914
hlsfactory_cholesky,skill_off,flash,1817141,51107403,28.125172,hlsfactory_direct_cosim3600_timeouts_20260530,2512714,68337001
hlsfactory_durbin,skill_off,flash,60795,176899,2.909762,,61440,115097
hlsfactory_gemm,skill_off,flash,388134,59260596,152.680765,hlsfactory_direct_cosim3600_timeouts_20260530,367858,54298622
hlsfactory_gemver,skill_off,flash,132453,2938796,22.187463,,132238,2715487
hlsfactory_gesummv,skill_off,flash,42998,1459088,33.933857,,41028,1441873
hlsfactory_jacobi_1d,skill_off,flash,12403,56851,4.583649,,12468,41761
hlsfactory_ludcmp,skill_off,flash,3379475,9426485,2.789334,,4772461,10095723
hlsfactory_mvt,skill_off,flash,159499,266254,1.669315,,156992,256922
hlsfactory_nussinov,skill_off,flash,1214995,157203939,129.38649,,1724899,209526121
hlsfactory_trisolv,skill_off,flash,58194,1275966,21.926075,,57991,1160161
hlsfactory_trmm,skill_off,flash,49743,25142463,505.447259,,49354,22598401
hlsfactory_3mm,skill_on,flash,90695,47837251,527.45191,hlsfactory_direct_cosim3600_timeouts_20260530,90620,45441119
hlsfactory_atax,skill_on,flash,105515,2652285,25.136568,,106102,2429238
hlsfactory_bicg,skill_on,flash,88813,2560150,28.826298,,88937,2343914
hlsfactory_cholesky,skill_on,flash,1817141,51107403,28.125172,hlsfactory_direct_cosim3600_timeouts_20260530,2512714,68337001
hlsfactory_durbin,skill_on,flash,60915,176899,2.90403,,61559,115097
hlsfactory_gemm,skill_on,flash,52348,59260596,1132.050814,hlsfactory_direct_cosim3600_timeouts_20260530,50258,54298622
hlsfactory_gemver,skill_on,flash,192361,2938796,15.277504,,192356,2715487
hlsfactory_gesummv,skill_on,flash,58871,1459088,24.784495,,58128,1441873
hlsfactory_jacobi_1d,skill_on,flash,12139,56851,4.683335,,12231,41761
hlsfactory_ludcmp,skill_on,flash,3379675,9426485,2.789169,,4772461,10095723
hlsfactory_mvt,skill_on,flash,210297,266254,1.266086,,199397,256922
hlsfactory_trisolv,skill_on,flash,58194,1275966,21.926075,,57991,1160161
