campaign,kind,model,architecture,flavor,complete,bench,bench_id,baseline_csynth,baseline_cosim,baseline_lut,baseline_dsp,baseline_bram,baseline_ff,flash_csynth,flash_cosim,flash_lut,flash_dsp,flash_bram,flash_ff,dataflow_csynth,dataflow_cosim,dataflow_lut,dataflow_dsp,dataflow_bram,dataflow_ff,dataflow_ok,final_csynth,final_cosim,final_lut,final_dsp,final_bram,final_ff,path
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,2mm,chathls_kernel_2mm,25296077,,38403,20,8,26447,73875,,41967,168,84,73545,,,,,,,False,73875,,41967,168,84,73545,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,3mm,chathls_kernel_3mm,45441119,,361516,14,30,125211,100086,,84207,663,566,144735,,,,,,,False,100086,,84207,663,566,144735,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,atax,chathls_atax,236250,,25208,8,4,26830,1099,,20847,336,16,37582,1139,,20755,336,16,38595,True,1099,,20847,336,16,37582,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,bicg,chathls_bicg,234516,,23798,12,4,24382,1056,,19730,304,20,34081,1053,,29742,304,20,54271,True,1056,,19730,304,20,34081,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,covariance,chathls_covariance,233415,,69911,4,8,40998,42690,,9621,4,32,10810,,,,,,,False,42690,,9621,4,32,10810,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,gemm,chathls_gemm,2871462,,30788,12,4,21949,2281,,18636,183,12,21983,2283,,17906,183,12,22572,True,2281,,18636,183,12,21983,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,gemm_blocked,chathls_gemm_blocked,901125,,40482,22,30,23882,612682,,21029,22,90,35707,,,,,,,False,612682,,21029,22,90,35707,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,gemm_ncubed,chathls_gemm_ncubed,295512,,152198,11,30,60410,42449,,88694,704,106,116583,46549,,82578,704,122,118242,True,42449,,88694,704,106,116583,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,gesummv,chathls_gesummv,1499,,10272,8,4,11651,698,,18484,248,20,27375,696,,16711,248,20,28587,True,698,,18484,248,20,27375,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,matmul,chathls_matmul,34963,,78416,3,30,28613,34974,,12477,3,96,14903,34970,,11794,3,102,15606,True,34974,,12477,3,96,14903,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,,True,mvt,chathls_mvt,14327,,56806,8,16,25208,474,,37333,320,80,97298,,,,,,,False,474,,37333,320,80,97298,/scratch/hpc-prf-llmfpga/asa582/projects/c2hls/artifacts/pc2/batch_parallel_chathls_fd_20260713_chathls_fd_externc
