campaign,kind,model,architecture,n_benches,csynth_pass,csynth_fail,csynth_pass_rate,cosim_pass,cosim_fail,cosim_skipped,cosim_pass_rate_of_attempted,cosim_pass_rate_of_benches,notes
batch_parallel_autosa_20260708_autosa_nav_n_r3,c2hls-autosa-flash,Devstral,AutoSA flash (nav_n),1,1,0,1.0,0,,1,,0.0,inventory cosim cells=0
batch_parallel_autosa_20260708_autosa_nav_n_r4,c2hls-autosa-flash,Devstral,AutoSA flash (nav_n),4,4,0,1.0,0,,4,,0.0,inventory cosim cells=0
batch_parallel_autosa_20260708_autosa_nav_n_r5,c2hls-autosa-flash,Devstral,AutoSA flash (nav_n),16,16,0,1.0,0,,16,,0.0,inventory cosim cells=0
batch_parallel_autosa_dse_fd_20260712_212400_autosa_dse_fd_nocosim_cont,c2hls-autosa-dse-fd,Devstral,AutoSA-DSE flash+dataflow,29,29,0,1.0,0,,29,,0.0,inventory cosim cells=0
batch_parallel_autosa_dse_fd_20260713_091100_autosa_dse_fd_nocosim_plainseed,c2hls-autosa-dse-fd,Devstral,AutoSA-DSE flash+dataflow,1,1,0,1.0,0,,1,,0.0,inventory cosim cells=0
batch_parallel_autosa_dse_fd_20260713_224002_autosa_dse_fd_nocosim_plainseed_stream,c2hls-autosa-dse-fd,Devstral,AutoSA-DSE flash+dataflow,28,28,0,1.0,0,,28,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,14,13,1,0.9285714285714286,0,,14,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,14,14,0,1.0,0,,14,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,14,14,0,1.0,14,0,0,1.0,1.0,flash_cosim bundle attempted=14; with_latency=14
batch_parallel_chathls_fd_ds_rag2_20260719_095037_ds_ctrl,c2hls-control,DeepSeek,RAG2+skills,14,14,0,1.0,0,,14,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_ds_rag2_lat_20260719_095037_ds_lat,c2hls-latency-opt,DeepSeek,RAG2+skills,16,16,0,1.0,0,,16,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,c2hls-chathls-benches,DeepSeek,RAG2+noskills,14,14,0,1.0,0,,14,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_ds_rag2_xfmr_20260720_070124,c2hls-transformer,DeepSeek,RAG2+skills,1,1,0,1.0,0,,1,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_ds_rag_20260717_195138_rag_skills,c2hls-chathls-benches,DeepSeek,scrape/RAG1+skills,13,13,0,1.0,0,,13,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_ds_rag_ns_20260718_040145_rag_ns,c2hls-chathls-benches,DeepSeek,scrape/RAG1+noskills,11,11,0,1.0,0,,11,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_ds_skills_20260717_232141_skills,c2hls-chathls-benches,DeepSeek,skills,15,15,0,1.0,0,,15,,0.0,inventory cosim cells=0
batch_parallel_chathls_fd_glm_rag2_20260718_023346_rag2_skills,c2hls-chathls-benches,GLM-4.7,RAG2+skills,14,14,0,1.0,14,1,0,0.9333333333333333,1.0,flash_cosim bundle attempted=15; with_latency=14
batch_parallel_chathls_fd_glm_rag2_ns_20260718_131155_rag2_ns,c2hls-chathls-benches,GLM-4.7,RAG2+noskills,13,13,0,1.0,0,,13,,0.0,inventory cosim cells=0
