compare_set,chathls_campaign,c2hls_campaign,c2hls_label,bench,chathls_cycles,c2hls_cycles,chathls_metric,c2hls_metric,both_cosim,ratio_c2hls_over_chathls,winner,chathls_gold_baseline,c2hls_gold_baseline,chathls_speedup_vs_gold,c2hls_speedup_vs_gold
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,2mm,38695.0,54763.0,cosim,cosim,True,1.4152474479906965,chathls,25296077.0,25296077.0,653.7298617392428,461.9191242262111
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,atax,1265.0,2015.0,cosim,cosim,True,1.592885375494071,chathls,236250.0,236250.0,186.7588932806324,117.24565756823822
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,bicg,4113.0,2034.0,cosim,cosim,True,0.49452954048140046,c2hls,234516.0,234516.0,57.018234865062,115.29793510324484
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,covariance,74630.0,8870.0,cosim,cosim,True,0.11885300817365671,c2hls,233415.0,233415.0,3.127629639555139,26.31510710259301
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,gemm_blocked,1187910.0,1319202.0,cosim,cosim,True,1.1105235245094325,chathls,901125.0,901125.0,0.7585801954693537,0.6830834095157527
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,gemm_ncubed,4627.0,1319211.0,csynth,cosim,False,285.1115193429868,chathls,295512.0,295512.0,63.86686838124054,0.2240066221400519
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,gesummv,4339.0,3497.0,cosim,cosim,True,0.805946070523162,c2hls,1499.0,1499.0,0.345471306752708,0.42865313125536175
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,mvt,2979.0,5103.0,cosim,cosim,True,1.7129909365558913,chathls,14327.0,14327.0,4.809331990600873,2.807564177934548
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,symm,311596.0,50423.0,csynth,cosim,False,0.16182171786544114,c2hls,37430401.0,37430401.0,120.12478016405859,742.3279257481705
native_16,hybrid-u280-split-20260717-001649,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DS RAG2+skills,syr2k,5232710.0,384713.0,cosim,cosim,True,0.07352079515203404,c2hls,1952641.0,1952641.0,0.3731605611623805,5.075578418197462
