campaign,kind,model,architecture,bench,bench_short,suite,baseline_csynth,result_csynth,result_csynth_stage,speedup_csynth_vs_gold,baseline_cosim,result_cosim,result_cosim_stage,speedup_cosim_vs_baseline
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,2mm,2mm,chathls,25296077.0,73875.0,final,342.41728595600676,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,3mm,3mm,chathls,45441119.0,100086.0,final,454.02073217033353,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,atax,atax,chathls,236250.0,1099.0,final,214.96815286624204,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,bicg,bicg,chathls,234516.0,1056.0,final,222.07954545454547,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,covariance,covariance,chathls,233415.0,42690.0,final,5.467673928320449,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,gemm,gemm,chathls,2871462.0,2281.0,final,1258.8610258658482,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,gemm_blocked,gemm_blocked,chathls,901125.0,612682.0,final,1.4707874558090495,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,gemm_ncubed,gemm_ncubed,chathls,295512.0,42449.0,final,6.961577422318547,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,gesummv,gesummv,chathls,1499.0,698.0,final,2.14756446991404,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,matmul,matmul,chathls,34963.0,34974.0,final,0.9996854806427632,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,mvt,mvt,chathls,14327.0,474.0,final,30.22573839662447,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,symm,symm,chathls,37430401.0,24552001.0,final,1.524535658010115,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,syr2k,syr2k,chathls,1952641.0,,,,,,,
batch_parallel_chathls_fd_20260713_chathls_fd_externc,c2hls-chathls-benches,Devstral,base/unknown,syrk,syrk,chathls,1183841.0,118874.0,final,9.958788296852129,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,2mm,2mm,chathls,25296077.0,55034.0,final,459.64452883671913,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,3mm,3mm,chathls,45441119.0,90346.0,final,502.96769087729393,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,atax,atax,chathls,236250.0,1098.0,final,215.1639344262295,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,bicg,bicg,chathls,234516.0,1056.0,final,222.07954545454547,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,covariance,covariance,chathls,233415.0,35994.0,final,6.484830805134189,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,gemm,gemm,chathls,2871462.0,2301.0,final,1247.9191655801826,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,gemm_blocked,gemm_blocked,chathls,901125.0,746497.0,final,1.207138139871962,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,gemm_ncubed,gemm_ncubed,chathls,295512.0,42449.0,final,6.961577422318547,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,gesummv,gesummv,chathls,1499.0,698.0,final,2.14756446991404,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,matmul,matmul,chathls,34963.0,18577.0,final,1.8820584593852614,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,mvt,mvt,chathls,14327.0,2603.0,final,5.504033807145602,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,symm,symm,chathls,37430401.0,66528001.0,final,0.562626269200543,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,syr2k,syr2k,chathls,1952641.0,407673.0,final,4.789723626534012,,,,
batch_parallel_chathls_fd_20260714_chathls_rag,c2hls-chathls-benches,Devstral,scrape/RAG1+skills,syrk,syrk,chathls,1183841.0,118874.0,final,9.958788296852129,,,,
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,2mm,2mm,chathls,25296077.0,54794.0,final,461.6577909990145,,54763.0,final,461.9191242262111
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,3mm,3mm,chathls,45441119.0,90644.0,final,501.31414103525884,,90539.0,final,501.8955256850639
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,atax,atax,chathls,236250.0,1921.0,final,122.98282144716293,,2015.0,final,117.24565756823822
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,bicg,bicg,chathls,234516.0,1934.0,final,121.25956566701137,,2034.0,final,115.29793510324484
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,covariance,covariance,chathls,233415.0,8674.0,final,26.909730228268387,,8870.0,final,26.31510710259301
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,gemm_blocked,gemm_blocked,chathls,901125.0,1319078.0,final,0.6831476228092652,,1319202.0,final,0.6830834095157527
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,gemm_ncubed,gemm_ncubed,chathls,295512.0,1319080.0,final,0.22402886860539165,,1319211.0,final,0.2240066221400519
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,gesummv,gesummv,chathls,1499.0,2344.0,final,0.639505119453925,,3497.0,final,0.42865313125536175
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,matmul,matmul,chathls,34963.0,3767.0,final,9.281391027342712,,3834.0,final,9.119196661450182
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,mobilenet,mobilenet,chathls,,3742647.0,final,,,3743427.0,final,
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,mvt,mvt,chathls,14327.0,5007.0,final,2.861394048332335,,5103.0,final,2.807564177934548
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,symm,symm,chathls,37430401.0,50432.0,final,742.1954513007614,,50423.0,final,742.3279257481705
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,syr2k,syr2k,chathls,1952641.0,392034.0,final,4.980795033083865,,384713.0,final,5.075578418197462
batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,c2hls-chathls-benches,DeepSeek,RAG2+skills,syrk,syrk,chathls,1183841.0,363295.0,final,3.2586217811970988,,355965.0,final,3.3257230345680053
batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,c2hls-chathls-benches,DeepSeek,RAG2+noskills,2mm,2mm,chathls,25296077.0,25322.0,final,998.9762656978122,,,,
batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,c2hls-chathls-benches,DeepSeek,RAG2+noskills,3mm,3mm,chathls,45441119.0,90518.0,final,502.0119644711549,,,,
