bench,size_family,ch_csynth,ch_best,ch_avg,ch_worst,ch_clock_ns,ch_util_dsp_pct,ch_util_ff_pct,ch_util_lut_pct,ch_util_bram_pct,ch_dsp,ch_legal,ch_legal_note,ch_source,ch_run,ch_cosim,c2_csynth,c2_clock_ns,c2_util_dsp_pct,c2_util_ff_pct,c2_util_lut_pct,c2_util_bram_pct,c2_dsp,c2_legal,c2_legal_note,c2_stage,c2_cosim,pair_legal,speedup_c2_over_ch,ratio_ch_over_c2,winner
2mm,chathls_imported_hlsfactory_sized,7582,7582,7582,7582,3.33,12,79,28,0,1116,True,ok,primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-kernel_2mm-hybrid-u280-split-20260717-001649-20260716-221708,38695,37645,3.33,8,5,6,4,771,True,ok,flash,,37645,0.2014078894939567,4.965048799788974,chathls
3mm,chathls_imported_hlsfactory_sized,7018,7018,7018,7018,3.33,31,133,59,0,2860,False,illegal_or_missing(ff=133%),primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-kernel_3mm-hybrid-u280-split-20260717-001649-20260716-221709,,93850,3.33,9,6,9,7,882,True,ok,flash,159298,False,,,incomplete
atax,chathls_imported_mini,915,915,915,915,3.33,0,0,0,0,16,True,ok,primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-atax-hybrid-u280-split-20260717-001649-20260716-221707,1265,1098,3.33,1,1,1,0,168,True,ok,flash,,1098,0.8333333333333334,1.2,chathls
bicg,chathls_imported_mini,843,843,843,843,3.33,0,0,0,0,16,True,ok,primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-bicg-hybrid-u280-split-20260717-001649-20260716-221707,4113,1893,3.33,3,1,1,1,304,True,ok,flash,,1893,0.44532488114104596,2.2455516014234878,chathls
covariance,chathls_imported_mini,10750,4926,10750,17022,3.33,0,0,1,0,8,True,ok,primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-covariance-hybrid-u280-split-20260717-001649-20260716-221708,74630,6504,3.33,1,1,2,0,128,True,ok,dataflow,1081,6504,1.6528290282902829,0.6050232558139534,c2hls
gemm,chathls_imported_mini,902,902,902,902,3.33,3,4,5,0,271,True,ok,primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-gemm-hybrid-u280-split-20260717-001649-20260716-221708,,32930,3.33,0,0,0,0,8,True,ok,flash,,32930,0.027391436380200425,36.507760532150776,chathls
gemm_blocked,machsuite_64,2097166,2097166,2097166,2097166,3.33,0,0,0,0,11,True,ok,primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-gemm_blocked-hybrid-u280-split-20260717-001649-20260716-221708,1187910,1319078,3.33,0,0,1,3,8,True,ok,flash,3955,1319078,1.5898726231504126,0.6289812060657096,c2hls
gemm_ncubed,machsuite_64,4627,4627,4627,4627,3.33,15,47,22,0,1408,True,ok,primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-gemm_ncubed-hybrid-u280-split-20260717-001649-20260716-221709,,34135,3.33,1,1,2,3,104,True,ok,flash,4359,34135,0.13555002197158342,7.3773503349902745,chathls
gesummv,chathls_imported_mini,482,482,482,482,3.33,0,0,0,0,20,True,ok,primary_session,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-gesummv-hybrid-u280-split-20260717-001649-20260716-221709,4339,2314,3.33,0,0,0,0,8,True,ok,flash,20,2314,0.20829732065687123,4.800829875518672,chathls
matmul,chathls_imported_mini,16398,16398,16398,16398,3.33,0,0,0,0,6,True,primary_illegal(dsp=221%); fallback opt-matmul-hybrid-u280-20260716-214729,legal_fallback,/scratch/hpc-prf-llmfpga/asa582/projects/test-chathls/ChatHLS-ACL-26/runs/opt-matmul-hybrid-u280-20260716-214729,,6298,3.33,0,5,7,2,24,True,ok,dataflow,515,6298,2.6036837091140046,0.3840712281985608,c2hls
