track,metric,latency_kind,ch_label,ch_session,ch_model,c2_label,c2_campaign,c2_model,bench,size_family,ch_best,ch_avg,ch_worst,c2_best,c2_avg,c2_worst,ch_latency,c2_latency,ratio_c2_over_ch,winner,ch_dsp,c2_dsp,note
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,2mm,hlsfactory,7582,7582,7582,54794,54794,54794,7582,54794,7.226853073067792,chathls,1116,772,xml:kernel_2mm_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,3mm,hlsfactory,7018,7018,7018,90644,90644,90644,7018,90644,12.915930464519807,chathls,2860,882,xml:kernel_3mm_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,atax,poly_mini,915,915,915,1921,1921,1921,915,1921,2.099453551912568,chathls,16,337,xml:atax_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,bicg,poly_mini,843,843,843,1934,1934,1934,843,1934,2.2941874258600237,chathls,16,153,xml:bicg_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,covariance,poly_mini,4926,10750,17022,8310,8674,9066,17022,9066,0.5326048642932676,c2hls,8,128,xml:covariance_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_blocked,machsuite_64,2097166,2097166,2097166,1319078,1319078,1319078,2097166,1319078,0.6289812060657096,c2hls,11,8,xml:gemm_blocked_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_ncubed,machsuite_64,4627,4627,4627,1319080,1319080,1319080,4627,1319080,285.0832072617247,chathls,1408,8,xml:gemm_ncubed_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gesummv,poly_mini,482,482,482,2344,2344,2344,482,2344,4.863070539419087,chathls,20,8,xml:gesummv_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,matmul,poly_mini,660,660,660,3767,3767,3767,660,3767,5.707575757575758,chathls,19974,96,xml:matmul_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,mvt,poly_mini,1234,1234,1234,5007,5007,5007,1234,5007,4.0575364667747165,chathls,16,4,xml:mvt_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,symm,hlsfactory,311596,311596,311596,50432,50432,50432,311596,50432,0.16185060141978716,c2hls,30,668,xml:kernel_symm_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,syr2k,hlsfactory,394721,394721,394721,201714,392034,587234,394721,587234,1.487719173796175,chathls,38,22,xml:kernel_syr2k_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,syrk,hlsfactory,164241,388881,619281,172975,363295,558495,619281,558495,0.9018442354924501,c2hls,11,11,xml:kernel_syrk_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,2mm,hlsfactory,7582,7582,7582,54794,54794,54794,7582,54794,7.226853073067792,chathls,1116,772,xml:kernel_2mm_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,3mm,hlsfactory,7018,7018,7018,90644,90644,90644,7018,90644,12.915930464519807,chathls,2860,882,xml:kernel_3mm_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,atax,poly_mini,915,915,915,1921,1921,1921,915,1921,2.099453551912568,chathls,16,337,xml:atax_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,bicg,poly_mini,843,843,843,1934,1934,1934,843,1934,2.2941874258600237,chathls,16,153,xml:bicg_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,covariance,poly_mini,4926,10750,17022,8310,8674,9066,10750,8674,0.8068837209302325,c2hls,8,128,xml:covariance_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_blocked,machsuite_64,2097166,2097166,2097166,1319078,1319078,1319078,2097166,1319078,0.6289812060657096,c2hls,11,8,xml:gemm_blocked_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_ncubed,machsuite_64,4627,4627,4627,1319080,1319080,1319080,4627,1319080,285.0832072617247,chathls,1408,8,xml:gemm_ncubed_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gesummv,poly_mini,482,482,482,2344,2344,2344,482,2344,4.863070539419087,chathls,20,8,xml:gesummv_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,matmul,poly_mini,660,660,660,3767,3767,3767,660,3767,5.707575757575758,chathls,19974,96,xml:matmul_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,mvt,poly_mini,1234,1234,1234,5007,5007,5007,1234,5007,4.0575364667747165,chathls,16,4,xml:mvt_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,symm,hlsfactory,311596,311596,311596,50432,50432,50432,311596,50432,0.16185060141978716,c2hls,30,668,xml:kernel_symm_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,syr2k,hlsfactory,394721,394721,394721,201714,392034,587234,394721,392034,0.9931926601320933,c2hls,38,22,xml:kernel_syr2k_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,syrk,hlsfactory,164241,388881,619281,172975,363295,558495,388881,363295,0.9342060938950476,c2hls,11,11,xml:kernel_syrk_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,2mm,hlsfactory,7582,7582,7582,54794,54794,54794,7582,54794,7.226853073067792,chathls,1116,772,xml:kernel_2mm_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,3mm,hlsfactory,7018,7018,7018,90644,90644,90644,7018,90644,12.915930464519807,chathls,2860,882,xml:kernel_3mm_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,atax,poly_mini,915,915,915,1921,1921,1921,915,1921,2.099453551912568,chathls,16,337,xml:atax_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,bicg,poly_mini,843,843,843,1934,1934,1934,843,1934,2.2941874258600237,chathls,16,153,xml:bicg_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,covariance,poly_mini,4926,10750,17022,8310,8674,9066,4926,8310,1.686967113276492,chathls,8,128,xml:covariance_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_blocked,machsuite_64,2097166,2097166,2097166,1319078,1319078,1319078,2097166,1319078,0.6289812060657096,c2hls,11,8,xml:gemm_blocked_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_ncubed,machsuite_64,4627,4627,4627,1319080,1319080,1319080,4627,1319080,285.0832072617247,chathls,1408,8,xml:gemm_ncubed_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gesummv,poly_mini,482,482,482,2344,2344,2344,482,2344,4.863070539419087,chathls,20,8,xml:gesummv_csynth.xml
