bench,ch_csynth,c2_csynth,speedup_c2_over_ch,winner,c2_stage,prev_c2_215722
syr2k,394721,26307,15.004,c2hls,flash,995108
syrk,388881,26272,14.802,c2hls,flash,24181
gemm_blocked,2097166,258127,8.125,c2hls,dataflow,210832
transformer,80676,10017,8.054,c2hls,dataflow,20940
matmul,16398,3225,5.085,c2hls,dataflow,2456
covariance,10750,6183,1.739,c2hls,flash,8030
atax,915,615,1.488,c2hls,dataflow,1146
mvt,1234,1828,0.675,chathls,dataflow,5003
bicg,843,1885,0.447,chathls,dataflow,1135
gesummv,482,1184,0.407,chathls,dataflow,659
gemm,902,2433,0.371,chathls,flash,824
gemm_ncubed,4627,12960,0.357,chathls,dataflow,12959
symm,311596,1718793,0.181,chathls,flash,
2mm,7582,826569,0.009,chathls,flash,829138
